id,session_id,question_id,started_at,submitted_at,selected_option,is_correct,time_taken_sec,attempt_number,created_at
200,a754bf8d-d1a8-4f72-a056-b24ec858e412,16,2026-01-06 11:45:17.63593,2026-01-06 11:45:48.046225,C,false,30,14,2026-01-06 11:45:17.739056
201,a754bf8d-d1a8-4f72-a056-b24ec858e412,44,2026-01-06 11:45:49.774567,2026-01-06 11:46:06.216466,C,true,16,15,2026-01-06 11:45:49.877656
202,98082e17-c816-41db-b346-6b625c6aea73,61,2026-01-06 11:45:58.954744,2026-01-06 11:46:06.872974,B,true,7,9,2026-01-06 11:45:59.057867
203,98082e17-c816-41db-b346-6b625c6aea73,13,2026-01-06 11:46:08.708212,2026-01-06 11:47:09.294287,B,true,60,10,2026-01-06 11:46:08.811215
204,79a4dcfc-ff49-4cab-b305-1d85d8b20a00,48,2026-01-06 11:46:10.380891,,,,,,2026-01-06 11:46:10.484
205,a754bf8d-d1a8-4f72-a056-b24ec858e412,1,2026-01-06 11:46:23.237126,2026-01-06 11:46:40.098603,D,false,16,16,2026-01-06 11:46:23.340422
206,a754bf8d-d1a8-4f72-a056-b24ec858e412,14,2026-01-06 11:46:41.886393,2026-01-06 11:46:58.881446,C,false,16,17,2026-01-06 11:46:41.989437
207,a754bf8d-d1a8-4f72-a056-b24ec858e412,49,2026-01-06 11:47:00.71459,2026-01-06 11:47:13.614528,C,true,12,18,2026-01-06 11:47:00.817598
208,98082e17-c816-41db-b346-6b625c6aea73,2,2026-01-06 11:47:11.097763,2026-01-06 11:47:17.913104,D,false,6,11,2026-01-06 11:47:11.202897
209,a754bf8d-d1a8-4f72-a056-b24ec858e412,69,2026-01-06 11:47:15.369019,2026-01-06 11:47:26.905807,C,true,11,19,2026-01-06 11:47:15.472062
210,98082e17-c816-41db-b346-6b625c6aea73,42,2026-01-06 11:47:19.643139,2026-01-06 11:47:47.879393,C,true,28,12,2026-01-06 11:47:19.746155
211,a754bf8d-d1a8-4f72-a056-b24ec858e412,27,2026-01-06 11:47:28.816747,2026-01-06 11:47:45.787789,D,true,16,20,2026-01-06 11:47:28.91975
212,a754bf8d-d1a8-4f72-a056-b24ec858e412,25,2026-01-06 11:47:47.568059,2026-01-06 11:48:04.250965,C,true,16,21,2026-01-06 11:47:47.671194
213,98082e17-c816-41db-b346-6b625c6aea73,41,2026-01-06 11:47:49.667989,2026-01-06 11:48:06.288299,A,false,16,13,2026-01-06 11:47:49.770997
214,a754bf8d-d1a8-4f72-a056-b24ec858e412,41,2026-01-06 11:48:06.029703,2026-01-06 11:48:20.027709,A,false,13,22,2026-01-06 11:48:06.132784
215,98082e17-c816-41db-b346-6b625c6aea73,12,2026-01-06 11:48:08.0305,2026-01-06 11:48:22.79848,A,false,14,14,2026-01-06 11:48:08.133546
216,a754bf8d-d1a8-4f72-a056-b24ec858e412,45,2026-01-06 11:48:21.781057,2026-01-06 11:48:36.617966,B,true,14,23,2026-01-06 11:48:21.884055
